SerialNo,Pitch_Number,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal
1,1,N,Y,N,Y,N,Y,N
2,2,N,Y,N,N,N,Y,N
3,3,Y,N,N,N,N,Y,N
4,4,N,Y,N,N,N,N,N
5,5,N,N,N,N,N,N,N
6,6,N,N,N,N,N,N,N
7,7,N,N,N,N,N,N,N
8,8,N,N,N,Y,N,N,N
9,9,N,N,N,N,N,Y,N
10,10,Y,N,N,N,N,Y,N
11,11,N,N,N,N,N,N,N
12,12,N,N,Y,Y,N,N,N
13,13,Y,N,N,Y,N,N,N
14,14,N,N,N,N,N,N,N
15,15,N,N,N,N,N,N,N
16,16,Y,Y,Y,Y,N,Y,N
17,17,N,N,Y,N,N,N,N
18,18,N,N,N,N,N,N,N
19,19,N,Y,N,Y,N,N,N
20,20,N,N,N,N,N,N,N
21,21,N,N,N,N,N,N,N
22,22,N,Y,N,Y,N,N,N
23,23,Y,N,N,N,Y,N,N
24,24,N,Y,N,N,N,N,N
25,25,N,N,Y,Y,N,N,N
26,26,N,N,N,Y,Y,N,N
27,27,N,N,N,N,N,N,N
28,28,N,N,Y,Y,Y,N,N
29,29,Y,N,N,Y,Y,N,N
30,30,N,Y,N,Y,Y,N,N
31,31,N,N,N,N,N,N,N
32,32,Y,N,N,N,N,N,N
33,33,N,N,Y,Y,N,N,N
34,34,N,N,Y,N,N,N,N
35,35,N,N,N,N,N,N,N
36,36,Y,N,N,Y,Y,N,N
37,37,Y,N,Y,N,Y,N,N
38,38,Y,N,N,N,Y,N,N
39,39,Y,Y,N,Y,Y,N,N
40,40,N,N,Y,Y,N,N,N
41,41,N,N,N,N,N,N,N
42,42,N,N,N,N,N,N,N
43,43,N,N,N,Y,N,N,N
44,44,N,N,N,N,Y,N,N
45,45,Y,N,Y,Y,N,N,N
46,46,Y,Y,N,N,N,N,N
47,47,N,N,N,N,N,N,N
48,48,N,N,Y,Y,N,N,N
49,49,Y,N,N,Y,N,N,N
50,50,Y,Y,Y,Y,Y,N,N
51,51,N,Y,Y,N,Y,N,N
52,52,N,N,N,N,N,N,N
53,53,N,N,N,N,Y,N,N
54,54,N,N,N,N,N,N,N
55,55,N,N,N,N,N,N,N
56,56,N,Y,N,N,N,N,N
57,57,N,N,N,N,N,N,N
58,58,N,N,N,N,N,N,N
59,59,N,Y,Y,Y,Y,N,N
60,60,N,N,N,N,N,N,N
61,61,N,N,N,N,N,N,N
62,62,N,N,N,N,Y,N,N
63,63,N,N,N,N,N,N,N
64,64,Y,Y,Y,Y,Y,N,N
65,65,N,Y,N,Y,N,Y,N
66,66,N,N,N,N,Y,N,N
67,67,Y,N,N,N,N,Y,N
68,68,Y,Y,N,N,Y,N,N
69,69,N,N,N,N,N,N,N
70,70,N,N,N,N,N,N,N
71,71,N,N,N,N,N,N,N
72,72,N,N,N,Y,N,N,N
73,73,N,N,N,N,N,N,N
74,74,N,N,N,N,N,N,N
75,75,N,N,N,N,N,N,N
76,76,Y,N,N,N,N,N,Y
77,77,N,N,N,N,Y,N,N
78,78,N,N,N,N,N,N,N
79,79,Y,N,N,N,N,N,N
80,80,Y,N,Y,N,Y,Y,Y
81,81,N,N,N,N,N,N,N
82,82,N,N,N,N,Y,N,N
83,83,N,N,N,N,N,N,N
84,84,N,N,Y,N,N,N,N
85,85,N,N,N,N,N,N,N
86,86,Y,N,Y,N,Y,N,Y
87,87,N,N,N,N,N,N,N
88,88,N,N,N,N,Y,N,N
89,89,N,N,N,N,Y,Y,Y
90,90,N,N,N,N,N,N,N
91,91,N,N,N,N,Y,Y,Y
92,92,N,N,Y,N,N,Y,Y
93,93,N,N,N,N,N,N,N
94,94,N,N,N,N,N,N,N
95,95,N,N,N,N,N,N,N
96,96,N,N,Y,N,N,Y,N
97,97,N,N,N,N,N,N,N
98,98,N,N,N,N,N,N,N
99,99,N,N,N,N,N,N,N
100,100,N,N,N,N,N,N,N
101,101,N,N,N,Y,N,N,N
102,102,N,N,N,N,N,N,N
103,103,N,N,N,N,N,N,N
104,104,N,N,N,N,N,N,N
105,105,N,N,N,Y,N,N,N
106,106,N,N,N,N,N,N,N
107,107,N,N,Y,N,N,N,N
108,108,N,N,N,N,N,N,N
109,109,Y,Y,N,N,Y,N,N
110,110,N,Y,N,N,Y,N,N
111,111,N,Y,Y,N,N,Y,Y
112,112,N,N,N,N,N,N,N
113,113,N,N,N,N,N,N,N
114,114,N,N,N,N,N,N,N
115,115,Y,Y,N,Y,N,Y,N
116,116,N,N,N,N,N,N,N
117,117,N,N,N,N,N,N,N
